Sign,Variable,FunctionalClass,ProtoGloss,CountInReadyTexts,RoleContexts,SemanticFrames,ReadingConstraint
610,R247,ROOT_OR_UNRESOLVED,UNRESOLVED,1,InitialFiller:1,TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
622,R248,ROOT_OR_UNRESOLVED,UNRESOLVED,1,TerminalFiller:1,ClassifierSlotTerminalFormula:1,must be tested as a possible lexical root or unresolved sign
625,R249,ROOT_OR_UNRESOLVED,UNRESOLVED,1,,PrimeEntitySealFormula:1,must be tested as a possible lexical root or unresolved sign
626,R250,ROOT_OR_UNRESOLVED,UNRESOLVED,1,TerminalFiller:1,InitialClassifierFormula:1,must be tested as a possible lexical root or unresolved sign
634,R251,ROOT_OR_UNRESOLVED,UNRESOLVED,1,PreTerminalFiller:1,TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
635,R252,ROOT_OR_UNRESOLVED,UNRESOLVED,1,InitialFiller:1,InitialClassifierFormula:1,must be tested as a possible lexical root or unresolved sign
637,R253,ROOT_OR_UNRESOLVED,UNRESOLVED,1,PrimeEntityFiller:1,PrimeEntitySealFormula:1,must be tested as a possible lexical root or unresolved sign
639,R254,ROOT_OR_UNRESOLVED,UNRESOLVED,1,PrimeEntityFiller:1,PrimeEntitySealFormula:1,must be tested as a possible lexical root or unresolved sign
643,R255,ROOT_OR_UNRESOLVED,UNRESOLVED,1,PrimeEntityFiller:1,PrimeEntitySealFormula:1,must be tested as a possible lexical root or unresolved sign
647,R256,ROOT_OR_UNRESOLVED,UNRESOLVED,1,InitialFiller:1,TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
683,R257,ROOT_OR_UNRESOLVED,UNRESOLVED,1,InitialFiller:1,TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
684,R258,ROOT_OR_UNRESOLVED,UNRESOLVED,1,InitialFiller:1,TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
685,R259,ROOT_OR_UNRESOLVED,UNRESOLVED,1,TerminalFiller:1,LowEvidenceSequence:1,must be tested as a possible lexical root or unresolved sign
686,R260,ROOT_OR_UNRESOLVED,UNRESOLVED,1,,PrimeEntitySealFormula:1,must be tested as a possible lexical root or unresolved sign
688,R261,ROOT_OR_UNRESOLVED,UNRESOLVED,1,,PrimeEntitySealFormula:1,must be tested as a possible lexical root or unresolved sign
689,R262,ROOT_OR_UNRESOLVED,UNRESOLVED,1,InitialFiller:1,PrimeEntitySealFormula:1,must be tested as a possible lexical root or unresolved sign
694,R263,ROOT_OR_UNRESOLVED,UNRESOLVED,1,InitialFiller:1,TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
703,R264,ROOT_OR_UNRESOLVED,UNRESOLVED,1,InitialFiller:1,TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
707,R265,ROOT_OR_UNRESOLVED,UNRESOLVED,1,InitialFiller:1,LowEvidenceSequence:1,must be tested as a possible lexical root or unresolved sign
713,R266,ROOT_OR_UNRESOLVED,UNRESOLVED,1,,TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
716,R267,ROOT_OR_UNRESOLVED,UNRESOLVED,1,InitialFiller:1,TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
728,R268,ROOT_OR_UNRESOLVED,UNRESOLVED,1,InitialFiller:1,TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
744,R269,ROOT_OR_UNRESOLVED,UNRESOLVED,1,InitialFiller:1,LowEvidenceSequence:1,must be tested as a possible lexical root or unresolved sign
746,R270,ROOT_OR_UNRESOLVED,UNRESOLVED,1,InitialFiller:1,TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
759,R271,ROOT_OR_UNRESOLVED,UNRESOLVED,1,InitialFiller:1,TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
765,R272,ROOT_OR_UNRESOLVED,UNRESOLVED,1,TerminalFiller:1,TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
770,R273,ROOT_OR_UNRESOLVED,UNRESOLVED,1,PrimeEntityFiller:1,PrimeEntitySealFormula:1,must be tested as a possible lexical root or unresolved sign
777,R274,ROOT_OR_UNRESOLVED,UNRESOLVED,1,InitialFiller:1,PrimeEntitySealFormula:1,must be tested as a possible lexical root or unresolved sign
786,R275,ROOT_OR_UNRESOLVED,UNRESOLVED,1,InitialFiller:1,TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
791,R276,ROOT_OR_UNRESOLVED,UNRESOLVED,1,,TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
792,R277,ROOT_OR_UNRESOLVED,UNRESOLVED,1,TerminalFiller:1,TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
793,R278,ROOT_OR_UNRESOLVED,UNRESOLVED,1,PrimeEntityFiller:1,PrimeEntitySealFormula:1,must be tested as a possible lexical root or unresolved sign
794,R279,ROOT_OR_UNRESOLVED,UNRESOLVED,1,InitialFiller:1,TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
795,R280,ROOT_OR_UNRESOLVED,UNRESOLVED,1,,TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
804,R281,ROOT_OR_UNRESOLVED,UNRESOLVED,1,TerminalFiller:1,LowEvidenceSequence:1,must be tested as a possible lexical root or unresolved sign
805,R282,ROOT_OR_UNRESOLVED,UNRESOLVED,1,PrimeEntityFiller:1,PrimeEntitySealFormula:1,must be tested as a possible lexical root or unresolved sign
807,R283,ROOT_OR_UNRESOLVED,UNRESOLVED,1,TerminalFiller:1,TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
809,R284,ROOT_OR_UNRESOLVED,UNRESOLVED,1,,ClassifierSlotTerminalFormula:1,must be tested as a possible lexical root or unresolved sign
810,R285,ROOT_OR_UNRESOLVED,UNRESOLVED,1,InitialFiller:1,PrimeEntitySealFormula:1,must be tested as a possible lexical root or unresolved sign
824,R286,ROOT_OR_UNRESOLVED,UNRESOLVED,1,InitialFiller:1,PrimeEntitySealFormula:1,must be tested as a possible lexical root or unresolved sign
844,R287,ROOT_OR_UNRESOLVED,UNRESOLVED,1,InitialFiller:1,InitialClassifierFormula:1,must be tested as a possible lexical root or unresolved sign
849,R288,ROOT_OR_UNRESOLVED,UNRESOLVED,1,InitialFiller:1,TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
858,R289,ROOT_OR_UNRESOLVED,UNRESOLVED,1,TerminalFiller:1,TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
859,R290,ROOT_OR_UNRESOLVED,UNRESOLVED,1,InitialFiller:1,TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
862,R291,ROOT_OR_UNRESOLVED,UNRESOLVED,1,InitialFiller:1,TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
865,R292,ROOT_OR_UNRESOLVED,UNRESOLVED,1,TerminalFiller:1,LowEvidenceSequence:1,must be tested as a possible lexical root or unresolved sign
869,R293,ROOT_OR_UNRESOLVED,UNRESOLVED,1,TerminalFiller:1,InitialClassifierFormula:1,must be tested as a possible lexical root or unresolved sign
871,R294,ROOT_OR_UNRESOLVED,UNRESOLVED,1,,TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
874,R295,ROOT_OR_UNRESOLVED,UNRESOLVED,1,TerminalFiller:1,TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
880,R296,ROOT_OR_UNRESOLVED,UNRESOLVED,1,InitialFiller:1,PrimeEntitySealFormula:1,must be tested as a possible lexical root or unresolved sign
893,R297,ROOT_OR_UNRESOLVED,UNRESOLVED,1,TerminalFiller:1,TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
912,R298,ROOT_OR_UNRESOLVED,UNRESOLVED,1,TerminalFiller:1,TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
922,R299,ROOT_OR_UNRESOLVED,UNRESOLVED,1,InitialFiller:1,TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
924,R300,ROOT_OR_UNRESOLVED,UNRESOLVED,1,InitialFiller:1,LowEvidenceSequence:1,must be tested as a possible lexical root or unresolved sign
940,R301,ROOT_OR_UNRESOLVED,UNRESOLVED,1,InitialFiller:1,PrimeEntitySealFormula:1,must be tested as a possible lexical root or unresolved sign
944,R302,ROOT_OR_UNRESOLVED,UNRESOLVED,1,InitialFiller:1,PrimeEntitySealFormula:1,must be tested as a possible lexical root or unresolved sign
950,R303,ROOT_OR_UNRESOLVED,UNRESOLVED,1,TerminalFiller:1,TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
952,R304,ROOT_OR_UNRESOLVED,UNRESOLVED,1,InitialFiller:1,TerminalFormula:1,must be tested as a possible lexical root or unresolved sign
953,R305,ROOT_OR_UNRESOLVED,UNRESOLVED,1,TerminalFiller:1,ClassifierSlotTerminalFormula:1,must be tested as a possible lexical root or unresolved sign
958,R306,ROOT_OR_UNRESOLVED,UNRESOLVED,1,InitialFiller:1,NameLikeTerminalFormula:1,must be tested as a possible lexical root or unresolved sign
